股票代码,标题,作者ID,最后更新
600900,经济低迷，啥都是百搭,未知,03-31 02:51
600900,股价为啥不动？,未知,03-31 01:33
600900,你二万多元一平方米能买下中国首都北京最顶级豪宅旺铺还带＞8%年租约，仅35万平产,未知,03-26 07:19
600900,埋伏这么多天27.09买了，结果他要26了,未知,03-30 09:53
600900,我这边看到长江电力23年年报股东权益合计2125亿，24年年报股东权益合计222,未知,03-30 11:07
600900,廉颇老矣，尚能饭否？,未知,03-31 01:39
600900,凉凉,未知,03-31 01:46
600900,掉了我也不买,未知,03-31 01:46
600900,中国国贸试盘结束即将暴拉！@国贸脑瘫股@股友0506Z699c6@整机厂估低,未知,03-31 10:38
600900,还得我的四大行对冲一下蜗牛韭菜江！7月分红续买四大行，不买压梨山大江！,未知,03-31 01:13
600900,长江电力，建科院的股东们都很牛啊,未知,03-31 11:54
600900,新一轮起涨点，拿稳了！,未知,03-31 10:55
600900,成交量只要不超过二万亿，一定要越涨越卖，就现在这成交量，这种环境，大盘是不可能的,未知,03-31 10:51
600900,还是行业龙头拿着安心，今年的到期折旧还有二三十亿，这部分可是实实在在的业绩增量，,未知,03-31 10:34
600900,电力股票上涨。唯由长江电力不涨反跌。怎么看。我的理解是算你们家有钱。你们想怎么来,未知,03-31 12:04
600900,科技结束就是房地产的开始！中国国贸是北京核心的豪宅旺铺！@国贸跌停@整机厂估低@,未知,03-31 08:00
600900,买股票不要在15倍市盈率以上，就算这家公司再好。,未知,03-31 08:13
600900,今天是吃了电力回调的亏了,未知,03-30 02:47
600900,公用事业行业今日跌2.96%，主力资金净流出72.95亿元,未知,03-30 06:12
600900,今天郭嘉队主力方向,未知,03-31 08:55
600900,这算什么股市。2.5%银行贷款没人要。长江电力3.7%股息率没有人买。害人精，国,未知,03-27 11:43
600900,长江电力：融资净偿还1818.07万元，融资余额116.19亿元,未知,03-31 07:42
600900,根据最新规定，烟草、煤炭、石油石化、电力等垄断性企业，税后利润上交财政比例从20,未知,03-30 03:35
600900,为什么说长江电力股价应该在中国神华之上。赚钱能力差不多了，分红是长江电力的2倍。,未知,03-27 07:52
600900,长江电力的分红是节能风电，三峡能源的15倍，华能水电的5倍，,未知,03-30 11:16
600900,长江电力一动不动，你们涨给谁看，,未知,03-30 11:11
600900,和美的一样百分百分红吧,未知,03-30 10:52
600900,存在银行里的个人家庭应该来买长江电力这样的资产。机构。国家队，摩根士丹利。他们都,未知,03-29 08:07
600900,今天还行，本想27.00挂单买点，可惜差点，最后27.05买了，在盘中27.20,未知,03-30 09:14
600900,华能水电的小弟，哈哈,未知,03-30 09:52
600900,【机构：中东战争背景下，投资者应聚焦长期前景】3月30日讯，Moneyfarm的,未知,03-30 08:07
600900,你们的长江电力价格是多少啊，我们看看谁成本低,未知,03-24 08:17
600900,买这个股票，感觉可以卸载软件了,未知,03-30 02:54
600900,28你今年能回来不,未知,03-30 03:38
600900,算力扩张催生“算电协同”新命题 电力行业加快布局,未知,03-27 08:29
600900,这个能50w买入，一直拿着不,未知,03-29 12:45
600900,接不回来了,未知,03-30 01:28
600900,总感觉长江电力未来有什么利空消息。。。否则为什么一直不上涨呢？,未知,03-30 02:15
600900,今天回调正好倒车接人，分批低吸电力ETF广发，不纠结个股，算电协同现在首次写入政,未知,03-30 02:42
600900,第一次买这个，感觉它有点肾虚一样，不上不下,未知,03-30 02:16
600900,像乌龟一样垃圾,未知,03-30 02:21
600900,电力真是，我跌了一阵才进来的，没想到抄到半山腰哈哈,未知,03-30 02:09
600900,下午跌停，快跑,未知,03-30 12:52
600900,之前26.81本，26.83卖了，快点跌回来，跌回来了我再买回来,未知,03-30 11:15
600900,电力这波回调真的是倒车接人？国办刚发文力挺统一电力市场，AI算力又这么缺电，逻辑,未知,03-30 11:40
600900,快点跑吧，下跌了要,未知,03-30 12:44
600900,还能到26吗,未知,03-30 10:42
600900,八个字，食之无味弃之可惜,未知,03-30 11:29
600900,电力股基本都跌停了，长江电力要小心了,未知,03-30 11:07
600900,中国国贸年报大鱼即将现身！年未三天倒手四千万股占可流通股的五分之一，中国国贸大戏,未知,03-30 10:28
600900,赚五个点没卖想，肠子都悔青了,未知,03-30 09:53
600900,之前买长江是为了大盘下跌抗一下风险，现在的长江也被大A糟蹋了，也不抗跌，也不上涨,未知,03-30 10:05
600900,每天都是这样，水下量化，韭菜们难不难受,未知,03-30 10:44
600900,你今天如果不翻红，我真的看不起你！,未知,03-30 10:24
600900,[惊讶][哼],未知,03-30 10:20
600900,兄弟顶的住吗,未知,03-30 09:47
600900,今天问题不大，被板块带了一下,未知,03-30 09:57
600900,抄底,未知,03-30 09:55
600900,[微笑][害羞羞][愉快],未知,03-30 09:09
600900,算电协同写入“十五五”规划，万亿级新基建推动算力设施绿色转型,未知,03-27 09:32
600900,[撇嘴][晕],未知,03-30 04:53
600900,[俏皮],未知,03-30 01:48
600900,[偷笑][围观][左哼哼],未知,03-29 11:13
600900,[色],未知,03-29 10:17
600900,[抓狂],未知,03-29 09:51
600900,看这两年的股价，长江电力业绩算是涨到头了。以后都不一定能跑赢通胀。,未知,03-27 11:26
600900,5年以后，长江电力32.28元买进的股民将获得解放。,未知,03-29 08:44
600900,睡在30元卧铺上面的兄弟，套了3年了知道自己套住的原因了吗？分享一下，我给你们算,未知,03-28 03:11
600900,站上28元。,未知,03-29 07:27
600900,你们不要被中信证券忽悠，不可能有长期分红的，券商没有硬资产。没有长期赚钱的能力。,未知,03-29 06:33
600900,电价要涨了，你也可以涨起来了,未知,03-28 03:16
600900,机构：火电将逐步从基荷电源向调节性电源转变,未知,03-23 09:21
600900,长江电力必须执行三大政策。250亿以上分红。150亿以上还债。每年控制在100亿,未知,03-29 07:35
600900,一直很期待，先来十五个跌停欣赏欣赏……,未知,03-29 12:03
600900,跑路了，兄弟们,未知,03-27 09:39
600900,已经透支未来涨势,未知,03-28 11:38
600900,为什么每年的年报要到最后一天发？,未知,03-29 09:43
600900,六十万股002039全出了！抄底电算协同001896还是600900呀？,未知,03-14 10:10
600900,银行这么多债务要不回来了，我不会碰的，长江电力除了抢，别的什么问题也没有，,未知,03-27 05:28
