代码	    名称	市盈(动)	市净率	总市值
SZ300414	中光防雷	196.2	4.51	4482767700
SZ300415	伊之密	14.79	3.57	11123663900
SZ300416	苏试试验	34.91	3.25	8986039700
SZ300417	南华仪器		3.64	1672620600
SZ300418	昆仑万维		4.38	61512491000
SZ300419	ST浩丰		6.12	2640472100
SZ300420	五洋自控	77.08	1.69	3985489300
SZ300421	力星股份	98.25	5.33	6765641400
SZ300422	博世科		2.38	2637369100
SZ300423	昇辉科技	470.7	3.01	4059692100
SZ300424	航新科技	172.2	5.32	4047225200
SZ300425	中建环能		1.41	3315612800
SZ300426	华智数媒		32.26	3558024200
SZ300427	红相股份		5.22	6264970100
SZ300428	立中集团	15.82	1.56	14068133000
SZ300429	强力新材		3.85	6623359700
SZ300430	诚益通	52.65	2.08	4761936100
SZ300432	富临精工	91.13	8.61	39495462000
SZ300433	蓝思科技	36.76	2.68	1.47699E+11
SZ300434	金石亚药	30.83	1.58	3977264300
SZ300435	中泰股份	22.13	2.99	9901252700
SZ300436	广生堂		41.24	15797694000
SZ300437	清水源		2.76	3736895200
SZ300438	鹏辉能源	186	5.45	28408699000
SZ300439	美康生物	45.95	1.25	3708676600
SZ300440	运达科技	130.4	4.32	6966338100
SZ300441	鲍斯股份	21.26	1.85	4562464300
SZ300442	润泽科技	21.06	9.75	1.32055E+11
SZ300443	金雷股份	28.68	1.43	9018191600
SZ300444	双杰电气	63.07	5.91	10517892400
SZ300445	康斯特	40.32	3.29	4210362900
SZ300446	航天智造	19.33	2.89	17035014000
SZ300447	全信股份	199.5	2.96	5915158500
SZ300448	浩云科技		3.8	4667967800
SZ300449	汉邦高科		8.67	2690670800
SZ300450	先导智能	51.07	4.59	79860362000
SZ300451	创业慧康		1.69	7280886100
SZ300452	山河药辅	19.84	3.76	3507431800
SZ300453	三鑫医疗	19.61	3.53	5147751000
SZ300454	深信服	111.8	4.46	43898187000
SZ300455	航天智装		10.52	17527893000
SZ300456	赛微电子	21.83	4.78	32166123000
SZ300457	赢合科技	31.21	2.47	16794021000
SZ300458	全志科技	108.9	9.17	28551533000
SZ300459	汤姆猫		6.88	14414825000
SZ300460	ST惠伦		4.4	2457037200
SZ300461	田中精机	1475	17.46	9286762200
SZ300462	ST华铭		1.58	2256213100
SZ300463	迈克生物	131	1.02	6482026200
SZ300464	星徽股份	1005	25.98	3607618900
SZ300465	高伟达	226.4	9.53	6496490600
SZ300466	赛摩智能		6.32	4552004200
SZ300467	迅游科技	241	8.89	5677544800
SZ300468	四方精创	214.6	9.69	15946011000
SZ300469	信息发展		39.1	14899294000
SZ300470	中密控股	19.75	2.64	7328571600
SZ300471	厚普股份	752.2	3.76	5900492100
SZ300472	*ST新元			2364471600
SZ300473	德尔股份	49.46	2.55	5224763700
SZ300474	景嘉微		4.32	30108093000
SZ300475	香农芯创	121.9	17.22	58403599000
SZ300476	胜宏科技	50.79	13.15	2.19012E+11
SZ300477	ST合纵		2.8	2765808200
SZ300478	杭州高新		56.33	2893211300
SZ300479	神思电子		8.07	3550676400
SZ300480	光力科技	195.5	7.43	9519342700
SZ300481	濮阳惠成	32.82	1.78	4310704800
SZ300482	万孚生物	48.14	1.59	8584677200
SZ300483	首华燃气	45.32	2.5	7674105200
SZ300484	蓝海华腾	54.51	5.09	3436849100
SZ300485	赛升药业	357.3	1.54	5206813800
SZ300486	东杰智能	981.5	6.52	10931482100
SZ300487	蓝晓科技	38.41	8.31	33378812000
SZ300488	恒锋工具	34.96	2.96	5321754400
SZ300489	光智科技		10.43	6600035700
SZ300490	华自科技		2.89	6366770700
SZ300491	通合科技	99.23	3.31	3984267000
SZ300492	华图山鼎	34.17	28.58	11348497000
SZ300493	润欣科技	125.5	6.62	7708316500
SZ300494	盛天网络	133.5	3.79	5464282200
SZ300496	中科创达	88.14	2.67	26918250000
SZ300497	富祥药业		4.47	9776478200
SZ300498	温氏股份	21.12	2.63	1.10588E+11
SZ300499	高澜股份	234.9	7.74	10720329600
SZ300500	启迪设计	32.23	1.69	1873709300
SZ300501	海顺新材		2.43	3402399900
SZ300502	新易盛	52.18	30.31	4.40187E+11
SZ300503	昊志机电	98.93	11.93	16037040000
SZ300504	天邑股份		1.89	4000322800
SZ300505	川金诺	17.64	2.74	8006890900
SZ300506	ST名家汇			6771583700
SZ300507	苏奥传感	56.9	3.07	6509259400
SZ300508	维宏股份	43.99	4.49	3862956300
SZ300509	新美星	31.54	5.41	3343392000
